_id,at,data_clean,label
663862c1dd520c9ba22efdeb,2024-04-20T13:55:08.000Z,jual reksa dana proses proses sesal pakai aplikasi model ajaib,
663862c1dd520c9ba22efdec,2024-04-20T13:37:23.000Z,proses beli abad tari abad,
663862c1dd520c9ba22efded,2024-04-19T23:19:37.000Z,cair uang sial sesal mengunakan aplikasi,
663862c1dd520c9ba22efdee,2024-04-19T19:06:19.000Z,status sukses saldo masuk tarik rdn bi cepat gagal mending bi cepat hilangin tolong baik ajaib,negatif
663862c1dd520c9ba22efdef,2024-04-19T18:20:42.000Z,cs slow eror jam,
663862c1dd520c9ba22efdf0,2024-04-19T13:11:18.000Z,buruk portofolio ribu jual masuk ribu saran invest buang buang,negatif
663862c1dd520c9ba22efdf1,2024-04-19T02:40:21.000Z,deposit rb coba coba jam tungu masuk saldo deposit bayar seabank permata masuk saldo,
663862c1dd520c9ba22efdf2,2024-04-18T21:26:35.000Z,verifikasi buka rekening,
663862c1dd520c9ba22efdf3,2024-04-18T16:35:36.000Z,parah deposit,negatif
663862c1dd520c9ba22efdf4,2024-04-18T12:37:17.000Z,aplikasi live masalahkalian pakai aplikasi tampil ui ux bagus aman tolol,positif
663862c1dd520c9ba22efdf5,2024-04-18T07:24:39.000Z,investasi uang hilang mana saran,
663862c1dd520c9ba22efdf6,2024-04-18T01:20:08.000Z,ngelag open marketsat ramai ajaib aplikasiajaib rugi pakai aplikasi ajaib,
663862c1dd520c9ba22efdf7,2024-04-17T17:03:49.000Z,apes apes apes mengunakan trading,
663862c1dd520c9ba22efdf8,2024-04-17T14:55:29.000Z,akun masuk,
663862c1dd520c9ba22efdf9,2024-04-17T13:47:22.000Z,selagi tutup akun rumit kirim hard file kantor bintang,
663862c1dd520c9ba22efdfa,2024-04-17T12:19:28.000Z,nglengkapin data susah stuck foto ktp pdahal foto kali foto ktp trus,negatif
663862c1dd520c9ba22efdfb,2024-04-17T11:09:31.000Z,ganti nomer handphone,
663862c1dd520c9ba22efdfc,2024-04-17T11:03:29.000Z,aplikasi proses danaya cair tari cs,
663862c1dd520c9ba22efdfd,2024-04-17T10:06:45.000Z,sedih kembang bohong pasar fokusin customer ditingalin jelek kembang aplikasi lot,negatif
663862c1dd520c9ba22efdfe,2024-04-17T08:27:34.000Z,suka mati hilang otomatis order ting order periode,
663862c1dd520c9ba22efdff,2024-04-16T19:44:57.000Z,beli saham mahal selisih,
663862c1dd520c9ba22efe00,2024-04-16T18:51:00.000Z,infes kecewa untung infes nungu mingu email infes gagal dana infes lari mana admin susah orang nagih utang lucu itung tabung akherat terima kasih,negatif
663862c1dd520c9ba22efe01,2024-04-16T17:28:30.000Z,eror diwaktuwaktu krusial jam bursa,
663862c1dd520c9ba22efe02,2024-04-16T15:46:49.000Z,logout kasih bintang,
663862c1dd520c9ba22efe03,2024-04-16T15:05:48.000Z,posting foto ktp sesuai tentu salah,
663862c1dd520c9ba22efe04,2024-04-16T10:21:08.000Z,buka market ngelag heran,
663862c1dd520c9ba22efe05,2024-04-16T10:20:57.000Z,eror jam buka bursa tolong servernya benerin eror,
663862c1dd520c9ba22efe06,2024-04-16T10:19:01.000Z,ajaib biaya tambah beli saham ipo tingkat seka,
663862c1dd520c9ba22efe07,2024-04-16T10:18:21.000Z,ajaib rugi ajabroker ganguan rungkad,
663862c1dd520c9ba22efe08,2024-04-16T10:17:04.000Z,sekuritas sampah jual eror rugi ajaib sampah,
663862c1dd520c9ba22efe09,2024-04-16T10:16:20.000Z,aplikasi gila,
663862c1dd520c9ba22efe0a,2024-04-16T10:12:57.000Z,apknya eror kont sinyal bagus make wifi dinotif jaring masalah rugi,positif
663862c1dd520c9ba22efe0b,2024-04-16T10:11:44.000Z,lag lost orng aplikasi,
663862c1dd520c9ba22efe0c,2024-04-16T08:10:55.000Z,beli saham,
663862c1dd520c9ba22efe0d,2024-04-15T19:36:46.000Z,tolong registrasi bank suruh lengkap nama tabung cantum nama,
663862c1dd520c9ba22efe0e,2024-04-15T16:23:47.000Z,mencet data grafik susah pencet halang garis persen,negatif
663862c1dd520c9ba22efe0f,2024-04-15T12:07:08.000Z,aplikasi bintang yamenurut pribadi pemakainyadeposit mudah gilir tarik dana susah maf persis aplikasi scam model cs manaisinya grup grup chathadeuh,negatif
663862c1dd520c9ba22efe10,2024-04-15T10:27:05.000Z,asli parah investasi kamis apri senen terima jgmau tarik acdulu lohmakin kesini parah,negatif
663862c1dd520c9ba22efe11,2024-04-15T08:27:03.000Z,verifikasi data coba masuk lambat,negatif
663862c1dd520c9ba22efe12,2024-04-14T20:16:17.000Z,selesai proses lengkap data mengupload foto ktpwajah aplikasi langsung menu rumah selesai proses lengkap data aplikasiny merespon dg proses ubah data verifikasi orang verifikasi lengkap data piye,
663862c1dd520c9ba22efe13,2024-04-14T17:15:49.000Z,kasih data lengkap tingi up terang verifikasi semingu verifikasi daftar data verifikasi jam semingu verifikasi,
663862c1dd520c9ba22efe15,2024-04-14T10:42:13.000Z,cs lot bales lawak,
663862c1dd520c9ba22efe16,2024-04-13T21:56:10.000Z,bodo daftar akun aplikasi busuk,
663862c1dd520c9ba22efe17,2024-04-13T21:49:59.000Z,parah tingi up beli coba mingu,negatif
663862c1dd520c9ba22efe18,2024-04-13T19:51:54.000Z,main main pakai akun asli,
663862c1dd520c9ba22efe19,2024-04-13T15:28:52.000Z,payah,
663862c1dd520c9ba22efe1a,2024-04-12T22:30:39.000Z,aplikasi verifikasi email daftar sesuai alur tolong direspon balas komentar pindah aplikasi lai perhati kerjasamanya terima kasih,
663862c1dd520c9ba22efe1b,2024-04-12T20:57:40.000Z,lanjutin verif ktp foto udah coba,
663862c1dd520c9ba22efe1c,2024-04-10T19:37:29.000Z,saham beli deviden cash pemberitahuan transaksi masuk deviden cash email kotak masuk aplikasi akun ajaib saham deviden cash tolong tingkat aplikasi,
663862c1dd520c9ba22efe1d,2024-04-07T21:27:51.000Z,veryfikasi sulit coba ulang payah,
663862c1dd520c9ba22efe1e,2024-04-07T19:01:33.000Z,stuck foto ktp,
663862c1dd520c9ba22efe1f,2024-04-07T02:19:20.000Z,withdraw mingu,
663862c1dd520c9ba22efe20,2024-04-06T10:32:16.000Z,bulan transaksi jual kecil ter proses untung investasi dibatalin jual susah aneh kalu beli cepat,negatif
663862c1dd520c9ba22efe21,2024-04-05T18:21:41.000Z,masak verifikasi foto ktp gagal posisi cerah jelas tulis ktpnya salah tolong defolopernya pegawai benerin scanernya,negatif
663862c1dd520c9ba22efe22,2024-04-05T11:33:50.000Z,proses kini data ribet belit belit,negatif
663862c1dd520c9ba22efe23,2024-04-04T17:27:46.000Z,pikir bagus tidakita hrus beljar gaya baru aplikasikapan jualbeli banyak updatereting bintang,positif
663862c1dd520c9ba22efe24,2024-04-04T16:48:00.000Z,aplikasi buruk layan,negatif
663862c1dd520c9ba22efe25,2024-04-04T14:54:32.000Z,tahun dana nyangkut saham turun bareng nilai main orang balik layar tuhan tolong hamba,
663862c1dd520c9ba22efe26,2024-04-04T12:39:15.000Z,cs ajaib lambat tingi up masuk masuk rdn kapok pakai ajaib komen saldo masuk rdn kirim email ajaib ngchat,negatif
663862c1dd520c9ba22efe27,2024-04-04T10:56:19.000Z,tari rdn beda sekuritas lai,
663862c1dd520c9ba22efe28,2024-04-04T08:35:06.000Z,daftar pinjam online anjir nama orang tua kerjan hasil ditanyain ubah crypto data pribadi kerjan investasi pinjam online kocak,
663862c1dd520c9ba22efe29,2024-04-03T20:23:39.000Z,cair saldo cepat aplikasi,
663862c1dd520c9ba22efe2a,2024-04-03T16:59:08.000Z,instal invest tapitampilan ubah beli masuk aplikasi lambat sat jam sibuk,negatif
663862c1dd520c9ba22efe2b,2024-04-03T11:50:10.000Z,anjir potong biaya broker pn keteranganya potong untung potong pindah,
663862c1dd520c9ba22efe2c,2024-04-03T04:45:05.000Z,kyc susah,negatif
663862c1dd520c9ba22efe2d,2024-04-03T04:16:49.000Z,saldokuportofolioku hilang terang transaksi,
663862c1dd520c9ba22efe2e,2024-04-02T22:08:52.000Z,ajaib saham nusantara insfrastruktur meta jual sekuritas tawar penjualanya email,
663862c1dd520c9ba22efe2f,2024-04-02T20:44:56.000Z,aplikasi tolong baik lengkap data susah aplikasi bolak halaman foto ktp ulang td tingal pencet selesai kolom isi income nomer telepon invalid minat hilang,negatif
663862c1dd520c9ba22efe30,2024-04-02T14:16:12.000Z,proses tari buruk,negatif
663862c1dd520c9ba22efe31,2024-04-02T06:15:51.000Z,tari rdn,
663862c1dd520c9ba22efe32,2024-04-01T19:38:13.000Z,tipu,
663862c1dd520c9ba22efe33,2024-04-01T18:23:24.000Z,rubah bijak cal auction investor mohon pamit,
663862c1dd520c9ba22efe34,2024-04-01T11:16:13.000Z,pakai aplikasi saham ara band alias jual belikan harga saham turun nilai acses milik saham band saham nilai arb peilik saham jual sunguh tipu licik alami saham nikl tingal maret tingal april jual harga turunin arb,
663862c1dd520c9ba22efe35,2024-04-01T10:26:16.000Z,fitur bayar qris mengangu tampil mengunakan aplikasi trading investing saham bayar transaksi,
663862c1dd520c9ba22efe36,2024-04-01T08:01:56.000Z,sesal mengunakan aplikasi,
663862c1dd520c9ba22efe37,2024-04-01T04:43:02.000Z,parah daftar suruh foto ktp selesai posting suruh foto lebaran,negatif
663862c1dd520c9ba22efe38,2024-04-01T01:31:20.000Z,daftar akun verifikasi lengkap suruh nungu jam verifikasi,
663862c1dd520c9ba22efe39,2024-03-31T00:09:18.000Z,kesal pagi malam ulang foto ktp gagal,negatif
663862c1dd520c9ba22efe3a,2024-03-30T03:25:11.000Z,ap tera pemeliharan transaksi jam jam transaksi uninstal,
663862c1dd520c9ba22efe3b,2024-03-29T16:20:47.000Z,daftar rumit platform investasi intimidasi,
663862c1dd520c9ba22efe3c,2024-03-29T13:50:15.000Z,ritel rugu,
663862c1dd520c9ba22efe3d,2024-03-29T11:50:27.000Z,verifikasi ktp bisasudah foto menu suruh foto ktp,
663862c1dd520c9ba22efe3e,2024-03-29T10:15:49.000Z,aplikasi masalah saham pantau khusus ambil uang orang jual lapor ojk dibalikin uang,
663862c1dd520c9ba22efe3f,2024-03-29T08:23:17.000Z,tarik uang ajaib masuk masuk,
663862c1dd520c9ba22efe40,2024-03-28T22:03:01.000Z,ganti nomor handphone akundan cs membantuyg bot,
663862c1dd520c9ba22efe41,2024-03-28T18:49:51.000Z,aplikasi ajaib banyak erol keluh nasabah langsung nungu anyrian kolum dividen lambat masuk rdn akun sekuritas keluh langsung sat dividen masuk rdn kolom riwayat erol selam mengunakan akun ajaib mohon baik kerja,negatif
663862c1dd520c9ba22efe42,2024-03-28T15:59:14.000Z,kecewa pakai aplikasi ajaib main saham saldo jutan tibatiba masuk,negatif
663862c1dd520c9ba22efe43,2024-03-28T13:58:25.000Z,dibodohin dititpu uang ribu investasi masuk rekening maksimal pret mingu masuk ribet gilir deposit sat set cocok cair sabang merauke gila uang bermingu cair uang,negatif
663862c1dd520c9ba22efe44,2024-03-28T12:02:23.000Z,beli saham sesuai harga beli harga ketik lot harga bijak ajaib,
663862c1dd520c9ba22efe45,2024-03-28T09:37:58.000Z,verifikasi ktp eror,
663862c1dd520c9ba22efe46,2024-03-28T09:04:18.000Z,aplikasi autis daftar suruh foto ktp posting foto ktp habis suruh foto dasar eror developer,
663862c1dd520c9ba22efe47,2024-03-27T17:49:53.000Z,eror tpsl sesuaiuntuk kendala mohon fitur customer aplikasi email cepatbukan lambat maju ajaibapabila kendala responinvestor saran pakai ajaib,negatif
663862c1dd520c9ba22efe48,2024-03-27T17:13:15.000Z,tipu kedubus tipu,
663862c1dd520c9ba22efe49,2024-03-27T13:41:28.000Z,register eror eror foto selfi udah uninstal trua download,
663862c1dd520c9ba22efe4a,2024-03-27T10:18:14.000Z,bank kalsel,
663862c1dd520c9ba22efe4b,2024-03-27T01:41:22.000Z,tolong ajaib mesan eipo uang langsung tarik sat nungu tangal mesan gagal kali sen ipo coba tiru aplikasi belah baik kasih bintang,negatif
663862c1dd520c9ba22efe4c,2024-03-27T01:11:17.000Z,buf,
663862c1dd520c9ba22efe4d,2024-03-26T17:13:16.000Z,lot jual komplain mana,
663862c1dd520c9ba22efe4e,2024-03-26T17:07:35.000Z,acnyah,
663862c1dd520c9ba22efe50,2024-03-26T07:18:30.000Z,kemarin akun daftar,
663862c1dd520c9ba22efe51,2024-03-25T18:42:42.000Z,aplikasi buruk narik uang jaring buruk uang diyarik anj aplikasi bintang mending indodax pintu anj owner anj,negatif
663862c1dd520c9ba22efe52,2024-03-25T14:18:25.000Z,hubung cs susah kendala trasaksi balas tlfn angak,negatif
663862c1dd520c9ba22efe53,2024-03-25T12:06:15.000Z,baru lihat bid,
663862c1dd520c9ba22efe54,2024-03-23T22:30:41.000Z,pulih akun ajaib login akun kena hacking bantuanya mudah login akun,
663862c1dd520c9ba22efe55,2024-03-23T17:20:44.000Z,alpikasi buruk cs bagus alpikasi jelek berinvetasi mending cari alpikasi jual saham buruk ubah maksimal kerja kerja dana proses alpikasi,negatif
663862c1dd520c9ba22efe56,2024-03-23T01:27:10.000Z,semingu akun verifikasi terusmaka butuh jamin semingu ubah,
663862c1dd520c9ba22efe57,2024-03-22T22:41:42.000Z,daftar selesai,
663862c1dd520c9ba22efe58,2024-03-22T18:27:33.000Z,akun verifikasi,
663862c1dd520c9ba22efe59,2024-03-22T11:16:17.000Z,tolong kakak solusi lupa mengunakan akun mengunakan ajaib hasil mengunakan aplikasi ajaib akun beda terima nik akun,
663862c1dd520c9ba22efe5a,2024-03-22T10:57:48.000Z,cs responsive,
663862c1dd520c9ba22efe5b,2024-03-22T07:43:27.000Z,fikasi sulit banding aplikasi lai,
663862c1dd520c9ba22efe5c,2024-03-22T04:24:56.000Z,dana portofolio hilang transaksi apa mana uang,
663862c1dd520c9ba22efe5d,2024-03-21T23:22:36.000Z,isi lengkap data pribadi terus bosan lengkap data lengkap,
663862c1dd520c9ba22efe5e,2024-03-21T19:40:32.000Z,cs aplikasi sulit kendala transaksi sedia kolom customer service kadang buka pasar lot ui ux platform website tambah ribet tampil numpuk arah aplikasi terima kasih pelayananya,negatif
663862c1dd520c9ba22efe5f,2024-03-21T17:25:55.000Z,telpon daftar ajaib mengunakan email kasih notelponsudah akun gilir isi data sesuai ktp notelpon isi notelpon notelpon menu lanjut aplikasi notelpon lanjut daftar notelpon coba ulang ap uninstal apnya lol,
663862c1dd520c9ba22efe60,2024-03-21T04:20:33.000Z,tolong kembali uang saham uang saham transaksi tahu tolong ajaib bantu kembali dana dana ambil perlu duka adik adik meningal februari transaksi tangal februari maret tahu notifikasi ojk legal,
663862c1dd520c9ba22efe61,2024-03-20T14:51:06.000Z,stuck isi data,
663862c1dd520c9ba22efe63,2024-03-20T10:08:44.000Z,tarik uang pilih bank muncul,
663862c1dd520c9ba22efe64,2024-03-20T04:16:01.000Z,aplikasi nyeleneh admin live slow dana reksadan jual mingu masuk jelas prihal profit hasil profit investasi cocok tarik lucu aplikasi,
663862c1dd520c9ba22efe65,2024-03-20T00:54:44.000Z,aplikasi ampas download mending bibit,
663862c1dd520c9ba22efe66,2024-03-19T17:15:46.000Z,aplikasi bodo daftar gagal,negatif
663862c1dd520c9ba22efe67,2024-03-19T13:49:00.000Z,aplikasi buruk nungu verifikasi sat verifikasi aplikasi buruk,negatif
663862c1dd520c9ba22efe68,2024-03-19T09:46:47.000Z,mending baik cs antrianya bilang jam operasional malem complain jam sore dibales besok pagi kocak kalah aplikasi belah complain jam malem gercep langsung ditangepin,
663862c1dd520c9ba22efe69,2024-03-19T04:25:37.000Z,aplikasi eror portofolio ilang an,
663862c1dd520c9ba22efe6a,2024-03-19T04:10:13.000Z,ngalamin saham portofolio muncul,
663862c1dd520c9ba22efe6b,2024-03-18T19:22:07.000Z,tampil ui ux ubah fitur posisi ubah posisi pindah bingung ubah posisi tolong penguna ajaib generasi ahli tim ui ux buka survei pelang mingu,
663862c1dd520c9ba22efe6c,2024-03-18T16:06:59.000Z,narik saldo rdn status hasil uang masuk rekening cerita,
663862c1dd520c9ba22efe6e,2024-03-18T11:38:57.000Z,jual saham kamis isi senin dijitung jumat tangal merah,
663862c1dd520c9ba22efe6f,2024-03-18T10:09:27.000Z,aplikasi jelek ribet,negatif
663862c1dd520c9ba22efe70,2024-03-18T03:53:49.000Z,tingi up rdn eror masuk cs lambat,negatif
663862c1dd520c9ba22efe71,2024-03-17T05:10:18.000Z,maf aplikasi tutup layan csnya mudik lebaran,
663862c1dd520c9ba22efe72,2024-03-16T16:55:54.000Z,biaya jual beli mahal eror wd kalah stockbit,
663862c1dd520c9ba22efe73,2024-03-16T11:09:11.000Z,status transaksi hasil uang masul rekening aju aplikasi email instagram tangap,
663862c1dd520c9ba22efe74,2024-03-15T20:59:07.000Z,selesai sel saham kosong portofolio uang sel eror,
663862c1dd520c9ba22efe75,2024-03-15T20:44:39.000Z,transaksi double riwayat transaksi wkwkw refund nungu udah mutasi eh suruh nungu lucu tolong,
663862c1dd520c9ba22efe76,2024-03-15T17:25:34.000Z,ubah rekening beda bank ribet rek bca aktif suruh rekening narik uang susah bandingin aplikasi ubah bank sulit,negatif
663862c1dd520c9ba22efe77,2024-03-15T16:19:25.000Z,sistem kalah stockbit indikator lengkap manja maka ajaib udah fenya mahal biaya ipo beda sekuritas biaya ipo biaya murah,
663862c1dd520c9ba22efe78,2024-03-15T14:24:52.000Z,transaksi jual reksa dana tangal maret tangal maret tengah untung sisa uang mana cocok tari bank pribadi kena potong niat tabung rugi cocok lihat review orang,
663862c1dd520c9ba22efe79,2024-03-15T14:09:25.000Z,ajaib cs online apknya langsung langsung balas ka tolong narik uang masuk rek mengunakan cepat menit jam an,
663862c1dd520c9ba22efe7a,2024-03-15T01:03:38.000Z,ajaib beli saham negeri,
663862c1dd520c9ba22efe7c,2024-03-14T03:11:36.000Z,deposit cepat withdraw recomended,positif
663862c1dd520c9ba22efe7d,2024-03-14T01:27:17.000Z,masuk susah,negatif
663862c1dd520c9ba22efe7e,2024-03-13T17:09:31.000Z,susah wd kecewa customer service dibalesnya solusi,negatif
663862c1dd520c9ba22efe7f,2024-03-13T16:04:39.000Z,ubah nomor rek tolak alas bego,
663862c1dd520c9ba22efe80,2024-03-13T13:15:16.000Z,tolong proses tarik beli cepat tarik beli maksimal cepat maksimal,
663862c1dd520c9ba22efe81,2024-03-13T13:08:38.000Z,wd super admin slow job team ajaib,
663862c1dd520c9ba22efe82,2024-03-13T10:43:58.000Z,gmana saldo tingi up sangkut udah saldo segitu gitunya cal centernya,
663862c1dd520c9ba22efe83,2024-03-13T10:31:20.000Z,beli resadana proses mingu aplikasi jelek rugi download ajaib,negatif
663862c1dd520c9ba22efe84,2024-03-13T08:36:59.000Z,proses tari notif masuk aplikasi jelek,negatif
663862c1dd520c9ba22efe85,2024-03-13T04:57:28.000Z,lot deposit rdn kelam nungu susah,negatif
663862c1dd520c9ba22efe86,2024-03-13T03:26:29.000Z,deposit masuk adminya,
663862c1dd520c9ba22efe87,2024-03-12T22:05:52.000Z,jual portofolio cs susah hubung,negatif
663862c1dd520c9ba22efe88,2024-03-11T23:08:16.000Z,sayang tari sedia ewalet laintrus bank jugakecewa sh,negatif
663862c5dd520c9ba22efe89,2024-02-11T17:31:05.000Z,bisnis jaya layan super buruk balas dukung email dinalas itu jawabanya standard kas robot bingung keystats bagus lapak belah,negatif
663862c5dd520c9ba22efe8a,2024-03-06T16:54:33.000Z,fitur email aplikasi aplikasi jam status aplikasi online lot jual transaksi jual proses customer service layan pelang guna,
663862c5dd520c9ba22efe8b,2024-03-07T14:44:03.000Z,tolong cs responsive jual saham saldo masuk rdn rp riwayat masuk saldo proses jga email buruk service,negatif
663862c5dd520c9ba22efe8c,2023-12-06T09:07:50.000Z,aplikasi bagus lengkap laporang uang labarugi emiten quartal tolong tampil langsung tampil portopolio mohon tampil mode daftar bagan stockbit riwayat transaksi lengkap riwayat dividen,positif
663862c5dd520c9ba22efe8d,2024-01-16T15:45:03.000Z,saldo kurang riwayat transaksi fitur rekap untung rugi akurat nyleneh notifikasi alert lambat ngk akurat runing trade kadang eror habis jual saldo masuk buying kuat ngeselin antre sat jual akhir masuk nungu antre jual eksekusi,negatif
663862c5dd520c9ba22efe8e,2024-02-24T11:12:59.000Z,proses isi saldo rdn jam indonesia barat masuk saldo deposit uang masuk saldo rdn ajaib kacau,
663862c5dd520c9ba22efe8f,2024-01-25T16:40:21.000Z,kira alami transaksi bocor riwayat transaksi lengkap aplikasi lambat riwayat transaksi cs langsung balesnya profesional sakit transaksi hitung los los lipat bocor,negatif
663862c5dd520c9ba22efe90,2024-03-03T18:17:16.000Z,aplikasi sayang gunaka serius tingi up beli lambat,negatif
663862c5dd520c9ba22efe91,2024-01-30T22:18:41.000Z,aplikasi ajaib kecewa fitur sl sesuai harga sl pasang jual harga sl kendala minus sat pasuk ajaib eror,negatif
663862c5dd520c9ba22efe92,2023-12-22T17:55:50.000Z,aplikasi eror maintenance jam bursa parah layan cs slowrespon parah rasa udah banyak pengunanya handle tambah cs buruk service,negatif
663862c5dd520c9ba22efe93,2023-11-25T08:35:29.000Z,nilai saham beda aplikasi untung rugi untung saldo ubah jam tutup hm saldo informasi harga saham akurat beda aplikasi salah jual atw beli informasi,
663862c5dd520c9ba22efe94,2024-02-13T15:23:19.000Z,aplikasi uras uang harap tambah tahan saldo,
663862c5dd520c9ba22efe95,2024-02-19T13:31:25.000Z,instal seminguan data verifikasi trsaplikasinya,
663862c5dd520c9ba22efe96,2024-02-12T08:54:07.000Z,maf akun ajaib hilang instal ajaib mohon bantuanya terima kasih,
663862c5dd520c9ba22efe97,2024-02-24T13:14:05.000Z,daftar foto ktp ulang ulang kali ulang ulang tutorial foto ktp kotak ngepas foto ktpnya eror,
663862c5dd520c9ba22efe98,2024-03-06T19:53:45.000Z,customer service services make customer angryresponya lambat balap siput baik sesal invest aplikasi,negatif
663862c5dd520c9ba22efe99,2024-02-23T04:32:57.000Z,handphone restart login akun tibatiba portofolio saldo rdn mesti tolong bantuanya,
663862c5dd520c9ba22efe9a,2024-03-08T17:47:17.000Z,tolong baik eror lambat muter wifi ok,negatif
663862c5dd520c9ba22efe9b,2024-02-18T21:09:38.000Z,akun selesai proses verifikasi notif salah registrasi ajaib,
663862c5dd520c9ba22efe9c,2024-02-23T11:44:54.000Z,fitur sulit pengunan market limit otomatis bingung,
663862c5dd520c9ba22efe9d,2024-02-23T19:24:47.000Z,tingi up rp juta masuk email terima lapor saldo masuk,
663862c5dd520c9ba22efe9e,2024-02-28T13:06:19.000Z,udah depo saldo rdn tambah udah terang riwayat apa,
663862c5dd520c9ba22efe9f,2024-03-06T00:43:27.000Z,tari dana alami sistem eroro nominal uang deposit tolong baik,
663862c5dd520c9ba22efea0,2024-03-01T04:11:28.000Z,depo masuk lancar depo masuk pdhl udah kirim kecewa,negatif
663862c5dd520c9ba22efea1,2024-02-29T06:49:14.000Z,aplikasi lambat depo masuk cepat baik orang nungu kasih bintang,negatif
663862c5dd520c9ba22efea2,2024-02-10T14:54:22.000Z,akun hapus daftar ulang uang dalam akun rugi ap rugi penguna,
663862c5dd520c9ba22efea3,2024-02-15T11:33:40.000Z,pasword pin masuk,
